Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate7.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-07 14:12:16 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
E7,NPF_T2_R1_Ss_S4-10,D,UNKNOWN,FAM,NFQ-MGB,27.4349441528,27.2809104919,0.2178378403,,,,0,0.02,1,3,26,,N,N,N
E8,NPF_T2_R1_Ss_S4-17,C,UNKNOWN,VIC,NFQ-MGB,25.4043674469,25.2628364563,0.2001550496,,,,0,0.02,1,3,24,,N,N,N
E8,NPF_T2_R1_Ss_S4-17,D,UNKNOWN,FAM,NFQ-MGB,26.3059425354,26.2804050446,0.0361154675,,,,0,0.02,1,3,24,,N,N,N
E9,NPF_T2_R1_Ss_S5-5,C,UNKNOWN,VIC,NFQ-MGB,33.3261299133,33.7279777527,0.5682986379,,,,0,0.02,1,3,32,,Y,N,N
E9,NPF_T2_R1_Ss_S5-5,D,UNKNOWN,FAM,NFQ-MGB,24.5887069702,24.3988456726,0.2685057819,,,,0,0.02,1,3,23,,Y,N,N
E10,NPF_T2_R1_Ss_S5-27,C,UNKNOWN,VIC,NFQ-MGB,28.4481391907,28.3894538879,0.0829922035,,,,0,0.02,1,3,27,,N,N,N
E10,NPF_T2_R1_Ss_S5-27,D,UNKNOWN,FAM,NFQ-MGB,25.5278110504,25.388212204,0.1974225789,,,,0,0.02,1,3,24,,N,N,N
E11,NPF_T2_R1_Ss_S6-6,C,UNKNOWN,VIC,NFQ-MGB,31.9933757782,31.374382019,0.8753880262,,,,0,0.02,1,3,31,,Y,N,N
E11,NPF_T2_R1_Ss_S6-6,D,UNKNOWN,FAM,NFQ-MGB,24.1901416779,24.2079811096,0.0252301153,,,,0,0.02,1,3,22,,Y,N,N
E12,NPF_T2_R1_Ss_S6-13,C,UNKNOWN,VIC,NFQ-MGB,31.7273445129,31.7900886536,0.0887322649,,,,0,0.02,1,3,31,,N,N,N
E12,NPF_T2_R1_Ss_S6-13,D,UNKNOWN,FAM,NFQ-MGB,24.4886035919,24.3276634216,0.2276024222,,,,0,0.02,1,3,23,,N,N,N
F1,NPF_T2_R1_Ss_S1-5,C,UNKNOWN,VIC,NFQ-MGB,25.8055686951,25.6248321533,0.255600065,,,,0,0.02,1,3,24,,N,N,N
F1,NPF_T2_R1_Ss_S1-5,D,UNKNOWN,FAM,NFQ-MGB,26.5317287445,26.2376556396,0.4158808291,,,,0,0.02,1,3,25,,N,N,N
F2,NPF_T2_R1_Ss_S1-18,C,UNKNOWN,VIC,NFQ-MGB,28.9714317322,29.0237693787,0.0740179569,,,,0,0.02,1,3,27,,N,N,N
F2,NPF_T2_R1_Ss_S1-18,D,UNKNOWN,FAM,NFQ-MGB,24.6393451691,24.7671432495,0.180733785,,,,0,0.02,1,3,22,,N,N,N
F3,NPF_T2_R1_Ss_S2-28,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,36.413684845,,,,,0,0.02,1,3,39,,N,Y,Y
F3,NPF_T2_R1_Ss_S2-28,D,UNKNOWN,FAM,NFQ-MGB,23.5084018707,23.4106388092,0.1382578462,,,,0,0.02,1,3,21,,N,Y,Y
F4,NPF_T2_R1_Ss_S2-30,C,UNKNOWN,VIC,NFQ-MGB,32.9890289307,32.9839248657,0.007218238,,,,0,0.02,1,3,32,,N,N,N
F4,NPF_T2_R1_Ss_S2-30,D,UNKNOWN,FAM,NFQ-MGB,24.3251914978,24.1788539886,0.2069524974,,,,0,0.02,1,3,22,,N,N,N
F5,NPF_T2_R1_Ss_S3-1,C,UNKNOWN,VIC,NFQ-MGB,26.2609424591,26.577331543,0.4474403858,,,,0,0.02,1,3,24,,N,N,N
F5,NPF_T2_R1_Ss_S3-1,D,UNKNOWN,FAM,NFQ-MGB,27.4930858612,27.7148284912,0.3135927916,,,,0,0.02,1,3,26,,N,N,N
F6,NPF_T2_R1_Ss_S3-28,C,UNKNOWN,VIC,NFQ-MGB,27.6320819855,27.8171634674,0.2617447376,,,,0,0.02,1,3,26,,N,N,N
F6,NPF_T2_R1_Ss_S3-28,D,UNKNOWN,FAM,NFQ-MGB,25.9744224548,26.2139129639,0.3386907279,,,,0,0.02,1,3,24,,N,N,N
F7,NPF_T2_R1_Ss_S4-10,C,UNKNOWN,VIC,NFQ-MGB,24.2205619812,24.2234344482,0.0040622819,,,,0,0.02,1,3,23,,N,N,N
F7,NPF_T2_R1_Ss_S4-10,D,UNKNOWN,FAM,NFQ-MGB,27.1268749237,27.2809104919,0.2178378403,,,,0,0.02,1,3,25,,N,N,N
F8,NPF_T2_R1_Ss_S4-17,C,UNKNOWN,VIC,NFQ-MGB,25.1213054657,25.2628364563,0.2001550496,,,,0,0.02,1,3,23,,N,N,N
F8,NPF_T2_R1_Ss_S4-17,D,UNKNOWN,FAM,NFQ-MGB,26.2548675537,26.2804050446,0.0361154675,,,,0,0.02,1,3,24,,N,N,N
F9,NPF_T2_R1_Ss_S5-5,C,UNKNOWN,VIC,NFQ-MGB,34.129825592,33.7279777527,0.5682986379,,,,0,0.02,1,3,33,,Y,N,N
F9,NPF_T2_R1_Ss_S5-5,D,UNKNOWN,FAM,NFQ-MGB,24.2089824677,24.3988456726,0.2685057819,,,,0,0.02,1,3,22,,Y,N,N
F10,NPF_T2_R1_Ss_S5-27,C,UNKNOWN,VIC,NFQ-MGB,28.3307704926,28.3894538879,0.0829922035,,,,0,0.02,1,3,27,,N,N,N
F10,NPF_T2_R1_Ss_S5-27,D,UNKNOWN,FAM,NFQ-MGB,25.2486133575,25.388212204,0.1974225789,,,,0,0.02,1,3,23,,N,N,N
F11,NPF_T2_R1_Ss_S6-6,C,UNKNOWN,VIC,NFQ-MGB,30.7553901672,31.374382019,0.8753880262,,,,0,0.02,1,3,29,,Y,N,N
F11,NPF_T2_R1_Ss_S6-6,D,UNKNOWN,FAM,NFQ-MGB,24.2258224487,24.2079811096,0.0252301153,,,,0,0.02,1,3,22,,Y,N,N
F12,NPF_T2_R1_Ss_S6-13,C,UNKNOWN,VIC,NFQ-MGB,31.8528308868,31.7900886536,0.0887322649,,,,0,0.02,1,3,31,,N,N,N
F12,NPF_T2_R1_Ss_S6-13,D,UNKNOWN,FAM,NFQ-MGB,24.1667251587,24.3276634216,0.2276024222,,,,0,0.02,1,3,22,,N,N,N
G1,NPF_T2_R1_Ss_S1-5,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
G2,NPF_T2_R1_Ss_S1-18,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
G3,NPF_T2_R1_Ss_S2-28,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
G4,NPF_T2_R1_Ss_S2-30,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.8718757629,,,,,0,0.02,1,3,39,,N,Y,Y
G5,NPF_T2_R1_Ss_S3-1,B,UNKNOWN,FAM,NFQ-MGB,39.2038993835,39.2038993835,,,,,0,0.02,1,3,35,,N,N,N
G6,NPF_T2_R1_Ss_S3-28,B,UNKNOWN,FAM,NFQ-MGB,37.155166626,37.5838241577,0.6062132716,,,,0,0.02,1,3,35,,Y,N,N
G7,NPF_T2_R1_Ss_S4-10,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.3385314941,,,,,0,0.02,1,3,39,,N,Y,Y
G8,NPF_T2_R1_Ss_S4-17,B,UNKNOWN,FAM,NFQ-MGB,38.0749435425,38.3018913269,0.3209526241,,,,0,0.02,1,3,35,,N,N,N
G9,NPF_T2_R1_Ss_S5-5,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
G10,NPF_T2_R1_Ss_S5-27,B,UNKNOWN,FAM,NFQ-MGB,37.5548171997,37.5548171997,,,,,0,0.02,1,3,35,,N,N,N
G11,NPF_T2_R1_Ss_S6-6,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.0222053528,,,,,0,0.02,1,3,35,,N,N,N
G12,NPF_T2_R1_Ss_S6-13,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
H1,NPF_T2_R1_Ss_S1-5,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
H2,NPF_T2_R1_Ss_S1-18,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
H3,NPF_T2_R1_Ss_S2-28,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
H4,NPF_T2_R1_Ss_S2-30,B,UNKNOWN,FAM,NFQ-MGB,39.8718757629,39.8718757629,,,,,0,0.02,1,3,35,,N,N,N
H5,NPF_T2_R1_Ss_S3-1,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.2038993835,,,,,0,0.02,1,3,38,,N,N,Y
H6,NPF_T2_R1_Ss_S3-28,B,UNKNOWN,FAM,NFQ-MGB,38.0124816895,37.5838241577,0.6062132716,,,,0,0.02,1,3,35,,Y,N,N
H7,NPF_T2_R1_Ss_S4-10,B,UNKNOWN,FAM,NFQ-MGB,39.3385314941,39.3385314941,,,,,0,0.02,1,3,35,,N,N,N
H8,NPF_T2_R1_Ss_S4-17,B,UNKNOWN,FAM,NFQ-MGB,38.5288391113,38.3018913269,0.3209526241,,,,0,0.02,1,3,35,,N,N,N
H9,NPF_T2_R1_Ss_S5-5,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
H10,NPF_T2_R1_Ss_S5-27,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,37.5548171997,,,,,0,0.02,1,3,39,,N,N,Y
H11,NPF_T2_R1_Ss_S6-6,B,UNKNOWN,FAM,NFQ-MGB,39.0222053528,39.0222053528,,,,,0,0.02,1,3,35,,N,N,N
H12,NPF_T2_R1_Ss_S6-13,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
