Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate21.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-22 17:09:29 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
E11,CO2_T0_R1_Ss_S5-20,B,UNKNOWN,FAM,NFQ-MGB,38.5849723816,38.5849723816,,,,,0,0.02,1,3,35,,N,N,N
E12,CO2_T0_R1_Ss_S5-20,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.5849723816,,,,,0,0.02,1,3,39,,N,N,Y
F1,N_T2_R2_Ss_S3-30,B,UNKNOWN,FAM,NFQ-MGB,37.5560836792,38.2923583984,1.0412523746,,,,0,0.02,1,3,35,,Y,N,N
F2,N_T2_R2_Ss_S3-30,B,UNKNOWN,FAM,NFQ-MGB,39.0286369324,38.2923583984,1.0412523746,,,,0,0.02,1,3,35,,Y,N,N
F3,N_T2_R2_Ss_S3-30,Ssid,UNKNOWN,FAM,NFQ-MGB,22.3990192413,22.6481361389,0.3523031473,,,,1,0.02,1,3,20,,N,N,N
F4,N_T2_R2_Ss_S3-30,Ssid,UNKNOWN,FAM,NFQ-MGB,22.8972511292,22.6481361389,0.3523031473,,,,1,0.02,1,3,21,,N,N,N
F5,N_T2_R2_Ss_S3-30,C,UNKNOWN,VIC,NFQ-MGB,29.1090583801,29.3168315887,0.2938356996,,,,1,0.02,1,3,27,,N,N,N
F5,N_T2_R2_Ss_S3-30,D,UNKNOWN,FAM,NFQ-MGB,27.4270191193,27.4012489319,0.0364445485,,,,1,0.02,1,3,25,,N,N,N
F6,N_T2_R2_Ss_S3-30,C,UNKNOWN,VIC,NFQ-MGB,29.5246047974,29.3168315887,0.2938356996,,,,1,0.02,1,3,28,,N,N,N
F6,N_T2_R2_Ss_S3-30,D,UNKNOWN,FAM,NFQ-MGB,27.3754787445,27.4012489319,0.0364445485,,,,1,0.02,1,3,25,,N,N,N
F7,CO2_T0_R1_Ss_S6-4,C,UNKNOWN,VIC,NFQ-MGB,32.272064209,31.9604377747,0.4407063425,,,,1,0.02,1,3,31,,N,N,N
F7,CO2_T0_R1_Ss_S6-4,D,UNKNOWN,FAM,NFQ-MGB,23.3046550751,23.3015766144,0.004353601,,,,1,0.02,1,3,21,,N,N,N
F8,CO2_T0_R1_Ss_S6-4,C,UNKNOWN,VIC,NFQ-MGB,31.6488113403,31.9604377747,0.4407063425,,,,1,0.02,1,3,30,,N,N,N
F8,CO2_T0_R1_Ss_S6-4,D,UNKNOWN,FAM,NFQ-MGB,23.2984981537,23.3015766144,0.004353601,,,,1,0.02,1,3,21,,N,N,N
F9,CO2_T0_R1_Ss_S6-4,Ssid,UNKNOWN,FAM,NFQ-MGB,19.5068054199,19.4969444275,0.0139468983,,,,1,0.02,1,3,17,,N,N,N
F10,CO2_T0_R1_Ss_S6-4,Ssid,UNKNOWN,FAM,NFQ-MGB,19.4870815277,19.4969444275,0.0139468983,,,,1,0.02,1,3,17,,N,N,N
F11,CO2_T0_R1_Ss_S6-4,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.1845359802,,,,,0,0.02,1,3,39,,N,Y,Y
F12,CO2_T0_R1_Ss_S6-4,B,UNKNOWN,FAM,NFQ-MGB,38.1845359802,38.1845359802,,,,,0,0.02,1,3,35,,N,N,N
G1,N_T2_R2_Ss_S4-7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
G2,N_T2_R2_Ss_S4-7,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
G3,N_T2_R2_Ss_S4-7,Ssid,UNKNOWN,FAM,NFQ-MGB,23.0047740936,22.9302444458,0.1054021865,,,,1,0.02,1,3,21,,N,N,N
G4,N_T2_R2_Ss_S4-7,Ssid,UNKNOWN,FAM,NFQ-MGB,22.8557128906,22.9302444458,0.1054021865,,,,1,0.02,1,3,20,,N,N,N
G5,N_T2_R2_Ss_S4-7,C,UNKNOWN,VIC,NFQ-MGB,26.4704933167,26.3603115082,0.1558206081,,,,1,0.02,1,3,25,,N,N,N
G5,N_T2_R2_Ss_S4-7,D,UNKNOWN,FAM,NFQ-MGB,27.6621665955,27.5329113007,0.1827945858,,,,1,0.02,1,3,26,,N,N,N
G6,N_T2_R2_Ss_S4-7,C,UNKNOWN,VIC,NFQ-MGB,26.2501296997,26.3603115082,0.1558206081,,,,1,0.02,1,3,24,,N,N,N
G6,N_T2_R2_Ss_S4-7,D,UNKNOWN,FAM,NFQ-MGB,27.4036560059,27.5329113007,0.1827945858,,,,1,0.02,1,3,25,,N,N,N
G7,CO2_T0_R1_Ss_S6-19,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.4409980774,,,,,1,0.02,1,3,39,,N,Y,Y
G7,CO2_T0_R1_Ss_S6-19,D,UNKNOWN,FAM,NFQ-MGB,23.313085556,23.3656044006,0.074271515,,,,1,0.02,1,3,21,,N,Y,Y
G8,CO2_T0_R1_Ss_S6-19,C,UNKNOWN,VIC,NFQ-MGB,39.4409980774,39.4409980774,,,,,1,0.02,1,3,36,,N,N,N
G8,CO2_T0_R1_Ss_S6-19,D,UNKNOWN,FAM,NFQ-MGB,23.4181213379,23.3656044006,0.074271515,,,,1,0.02,1,3,21,,N,N,N
G9,CO2_T0_R1_Ss_S6-19,Ssid,UNKNOWN,FAM,NFQ-MGB,19.8314323425,19.7421550751,0.1262571216,,,,1,0.02,1,3,17,,N,N,N
G10,CO2_T0_R1_Ss_S6-19,Ssid,UNKNOWN,FAM,NFQ-MGB,19.6528778076,19.7421550751,0.1262571216,,,,1,0.02,1,3,17,,N,N,N
G11,CO2_T0_R1_Ss_S6-19,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
G12,CO2_T0_R1_Ss_S6-19,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
H1,N_T2_R2_Ss_S4-22,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.8260612488,,,,,0,0.02,1,3,39,,N,N,Y
H2,N_T2_R2_Ss_S4-22,B,UNKNOWN,FAM,NFQ-MGB,39.8260612488,39.8260612488,,,,,0,0.02,1,3,35,,N,N,N
H3,N_T2_R2_Ss_S4-22,Ssid,UNKNOWN,FAM,NFQ-MGB,24.3250598907,24.2646408081,0.0854441375,,,,1,0.02,1,3,21,,N,N,N
H4,N_T2_R2_Ss_S4-22,Ssid,UNKNOWN,FAM,NFQ-MGB,24.2042236328,24.2646408081,0.0854441375,,,,1,0.02,1,3,21,,N,N,N
H5,N_T2_R2_Ss_S4-22,C,UNKNOWN,VIC,NFQ-MGB,28.8252353668,28.6715641022,0.2173239887,,,,1,0.02,1,3,27,,N,N,N
H5,N_T2_R2_Ss_S4-22,D,UNKNOWN,FAM,NFQ-MGB,31.5955467224,31.7122421265,0.1650308818,,,,1,0.02,1,3,30,,N,N,N
H6,N_T2_R2_Ss_S4-22,C,UNKNOWN,VIC,NFQ-MGB,28.5178928375,28.6715641022,0.2173239887,,,,1,0.02,1,3,27,,N,N,N
H6,N_T2_R2_Ss_S4-22,D,UNKNOWN,FAM,NFQ-MGB,31.8289356232,31.7122421265,0.1650308818,,,,1,0.02,1,3,30,,N,N,N
H7,N_T2_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
H7,N_T2_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
H8,N_T2_R2_Ss_S0-NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
H8,N_T2_R2_Ss_S0-NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,Y,Y
H9,N_T2_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,N,Y
H10,N_T2_R2_Ss_S0-NTC,Ssid,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,1,0.02,1,3,39,,N,N,Y
H11,N_T2_R2_Ss_S0-NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
H12,N_T2_R2_Ss_S0-NTC,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,38,,N,N,Y
