Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\N_Ssid_Plate20.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-22 14:30:25 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
E3,N_T1_R2_Ss_S3-25,Ssid,UNKNOWN,FAM,NFQ-MGB,24.0653934479,23.997592926,0.0958857685,,,,1,0.02,1,3,21,,N,N,N
E4,N_T1_R2_Ss_S3-25,Ssid,UNKNOWN,FAM,NFQ-MGB,23.9297904968,23.997592926,0.0958857685,,,,1,0.02,1,3,22,,N,N,N
E5,N_T1_R2_Ss_S3-25,C,UNKNOWN,VIC,NFQ-MGB,32.7616081238,33.0354042053,0.3872061372,,,,1,0.02,1,3,31,,N,N,N
E5,N_T1_R2_Ss_S3-25,D,UNKNOWN,FAM,NFQ-MGB,27.3424091339,27.5708465576,0.3230592906,,,,1,0.02,1,3,25,,N,N,N
E6,N_T1_R2_Ss_S3-25,C,UNKNOWN,VIC,NFQ-MGB,33.3092002869,33.0354042053,0.3872061372,,,,1,0.02,1,3,32,,N,N,N
E6,N_T1_R2_Ss_S3-25,D,UNKNOWN,FAM,NFQ-MGB,27.7992839813,27.5708465576,0.3230592906,,,,1,0.02,1,3,26,,N,N,N
E7,CO2_T0_R1_Ss_S4-5,C,UNKNOWN,VIC,NFQ-MGB,24.4447097778,24.1574306488,0.4062740505,,,,1,0.02,1,3,23,,N,N,N
E7,CO2_T0_R1_Ss_S4-5,D,UNKNOWN,FAM,NFQ-MGB,24.1562461853,23.9840278625,0.2435534894,,,,1,0.02,1,3,22,,N,N,N
E8,CO2_T0_R1_Ss_S4-5,C,UNKNOWN,VIC,NFQ-MGB,23.8701515198,24.1574306488,0.4062740505,,,,1,0.02,1,3,22,,N,N,N
E8,CO2_T0_R1_Ss_S4-5,D,UNKNOWN,FAM,NFQ-MGB,23.8118095398,23.9840278625,0.2435534894,,,,1,0.02,1,3,22,,N,N,N
