Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\Ana\Nutrients\N_Ssid_Plate14.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-19 15:26:41 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
C8,C_T0_R2_Ss_S6-23,D,UNKNOWN,FAM,NFQ-MGB,23.6368427277,23.642616272,0.0081663737,,,,0,0.02,1,3,22,,N,Y,Y
C9,C_T0_R2_Ss_S6-23,Ssid,UNKNOWN,FAM,NFQ-MGB,20.4486446381,21.0150604248,0.8010329008,,,,0,0.02,1,3,18,,Y,N,N
C10,C_T0_R2_Ss_S6-23,Ssid,UNKNOWN,FAM,NFQ-MGB,21.5814762115,21.0150604248,0.8010329008,,,,0,0.02,1,3,19,,Y,N,N
C11,C_T0_R2_Ss_S6-23,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.455368042,,,,,0,0.02,1,3,39,,N,Y,Y
C12,C_T0_R2_Ss_S6-23,B,UNKNOWN,FAM,NFQ-MGB,39.455368042,39.455368042,,,,,0,0.02,1,3,35,,N,N,N
D1,C_T0_R2_Ss_S2-10,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
D2,C_T0_R2_Ss_S2-10,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
D3,C_T0_R2_Ss_S2-10,Ssid,UNKNOWN,FAM,NFQ-MGB,21.1246147156,21.0132713318,0.1574633271,,,,0,0.02,1,3,18,,N,N,N
D4,C_T0_R2_Ss_S2-10,Ssid,UNKNOWN,FAM,NFQ-MGB,20.901927948,21.0132713318,0.1574633271,,,,0,0.02,1,3,18,,N,N,N
D5,C_T0_R2_Ss_S2-10,C,UNKNOWN,VIC,NFQ-MGB,34.1964836121,34.216758728,0.0286733434,,,,0,0.02,1,3,33,,N,N,N
