Block Type,96well,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\Applied Biosystems\StepOne Software v2.1\experiments\N_Ssid_Plate16.eds,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-10-19 18:42:06 PM EDT,,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C?? Mean,C?? SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
E10,C_T1_R1_Ss_S4-8,Ssid,UNKNOWN,FAM,NFQ-MGB,22.5978145599,22.4915122986,0.1503341049,,,,1,0.02,1,3,21,,N,N,N
E11,C_T1_R1_Ss_S4-8,B,UNKNOWN,FAM,NFQ-MGB,38.4825363159,38.4825363159,,,,,0,0.02,1,3,35,,N,N,N
E12,C_T1_R1_Ss_S4-8,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.4825363159,,,,,0,0.02,1,3,39,,N,N,Y
F1,C_T2_R2_Ss_S3-20,B,UNKNOWN,FAM,NFQ-MGB,39.2986221313,37.7539749146,2.1844637394,,,,0,0.02,1,3,35,,Y,N,N
F2,C_T2_R2_Ss_S3-20,B,UNKNOWN,FAM,NFQ-MGB,36.2093238831,37.7539749146,2.1844637394,,,,0,0.02,1,3,34,,Y,N,N
F3,C_T2_R2_Ss_S3-20,Ssid,UNKNOWN,FAM,NFQ-MGB,22.3318386078,22.48828125,0.221241951,,,,1,0.02,1,3,20,,N,N,N
F4,C_T2_R2_Ss_S3-20,Ssid,UNKNOWN,FAM,NFQ-MGB,22.6447219849,22.48828125,0.221241951,,,,1,0.02,1,3,20,,N,N,N
F5,C_T2_R2_Ss_S3-20,C,UNKNOWN,VIC,NFQ-MGB,29.0387172699,28.9875526428,0.0723563582,,,,1,0.02,1,3,27,,Y,N,N
F5,C_T2_R2_Ss_S3-20,D,UNKNOWN,FAM,NFQ-MGB,28.5381393433,28.1623840332,0.5313982368,,,,1,0.02,1,3,27,,Y,N,N
F6,C_T2_R2_Ss_S3-20,C,UNKNOWN,VIC,NFQ-MGB,28.9363899231,28.9875526428,0.0723563582,,,,1,0.02,1,3,27,,Y,N,N
F6,C_T2_R2_Ss_S3-20,D,UNKNOWN,FAM,NFQ-MGB,27.7866287231,28.1623840332,0.5313982368,,,,1,0.02,1,3,26,,Y,N,N
F7,C_T1_R1_Ss_S4-12,C,UNKNOWN,VIC,NFQ-MGB,25.6265602112,25.510181427,0.1645844579,,,,1,0.02,1,3,24,,N,N,N
F7,C_T1_R1_Ss_S4-12,D,UNKNOWN,FAM,NFQ-MGB,26.2213363647,26.0276432037,0.2739234865,,,,1,0.02,1,3,24,,N,N,N
F8,C_T1_R1_Ss_S4-12,C,UNKNOWN,VIC,NFQ-MGB,25.3938026428,25.510181427,0.1645844579,,,,1,0.02,1,3,24,,N,N,N
F8,C_T1_R1_Ss_S4-12,D,UNKNOWN,FAM,NFQ-MGB,25.8339500427,26.0276432037,0.2739234865,,,,1,0.02,1,3,24,,N,N,N
F9,C_T1_R1_Ss_S4-12,Ssid,UNKNOWN,FAM,NFQ-MGB,22.8741912842,22.9466362,0.1024525836,,,,1,0.02,1,3,20,,N,N,N
F10,C_T1_R1_Ss_S4-12,Ssid,UNKNOWN,FAM,NFQ-MGB,23.0190811157,22.9466362,0.1024525836,,,,1,0.02,1,3,20,,N,N,N
F11,C_T1_R1_Ss_S4-12,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
F12,C_T1_R1_Ss_S4-12,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
G1,C_T2_R2_Ss_S4-3,B,UNKNOWN,FAM,NFQ-MGB,38.6508522034,38.9797668457,0.4651582539,,,,0,0.02,1,3,35,,N,N,N
G2,C_T2_R2_Ss_S4-3,B,UNKNOWN,FAM,NFQ-MGB,39.3086853027,38.9797668457,0.4651582539,,,,0,0.02,1,3,35,,N,N,N
G3,C_T2_R2_Ss_S4-3,Ssid,UNKNOWN,FAM,NFQ-MGB,22.636423111,22.6367797852,0.0005044135,,,,1,0.02,1,3,19,,N,N,N
G4,C_T2_R2_Ss_S4-3,Ssid,UNKNOWN,FAM,NFQ-MGB,22.6371364594,22.6367797852,0.0005044135,,,,1,0.02,1,3,20,,N,N,N
G5,C_T2_R2_Ss_S4-3,C,UNKNOWN,VIC,NFQ-MGB,26.4367694855,26.3125991821,0.1756046712,,,,1,0.02,1,3,24,,Y,N,N
G5,C_T2_R2_Ss_S4-3,D,UNKNOWN,FAM,NFQ-MGB,28.768535614,28.2777042389,0.6941403747,,,,1,0.02,1,3,27,,Y,N,N
G6,C_T2_R2_Ss_S4-3,C,UNKNOWN,VIC,NFQ-MGB,26.1884269714,26.3125991821,0.1756046712,,,,1,0.02,1,3,24,,Y,N,N
G6,C_T2_R2_Ss_S4-3,D,UNKNOWN,FAM,NFQ-MGB,27.7868728638,28.2777042389,0.6941403747,,,,1,0.02,1,3,26,,Y,N,N
G7,C_T1_R1_Ss_S5-9,C,UNKNOWN,VIC,NFQ-MGB,29.104385376,29.0844345093,0.0282134376,,,,1,0.02,1,3,27,,N,N,N
G7,C_T1_R1_Ss_S5-9,D,UNKNOWN,FAM,NFQ-MGB,25.2361240387,25.284734726,0.0687458962,,,,1,0.02,1,3,23,,N,N,N
G8,C_T1_R1_Ss_S5-9,C,UNKNOWN,VIC,NFQ-MGB,29.0644855499,29.0844345093,0.0282134376,,,,1,0.02,1,3,27,,N,N,N
G8,C_T1_R1_Ss_S5-9,D,UNKNOWN,FAM,NFQ-MGB,25.3333454132,25.284734726,0.0687458962,,,,1,0.02,1,3,23,,N,N,N
G9,C_T1_R1_Ss_S5-9,Ssid,UNKNOWN,FAM,NFQ-MGB,23.4387779236,23.3497505188,0.1259037703,,,,1,0.02,1,3,21,,N,N,N
G10,C_T1_R1_Ss_S5-9,Ssid,UNKNOWN,FAM,NFQ-MGB,23.260723114,23.3497505188,0.1259037703,,,,1,0.02,1,3,21,,N,N,N
G11,C_T1_R1_Ss_S5-9,B,UNKNOWN,FAM,NFQ-MGB,39.4547729492,39.4547729492,,,,,0,0.02,1,3,35,,N,N,N
G12,C_T1_R1_Ss_S5-9,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.4547729492,,,,,0,0.02,1,3,39,,N,N,Y
H1,C_T2_R2_Ss_S4-24,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,Y,Y
H2,C_T2_R2_Ss_S4-24,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,0,0.02,1,3,39,,N,N,Y
H3,C_T2_R2_Ss_S4-24,Ssid,UNKNOWN,FAM,NFQ-MGB,22.7743301392,22.8661651611,0.1298729777,,,,1,0.02,1,3,19,,N,N,N
H4,C_T2_R2_Ss_S4-24,Ssid,UNKNOWN,FAM,NFQ-MGB,22.9579982758,22.8661651611,0.1298729777,,,,1,0.02,1,3,21,,N,N,N
H5,C_T2_R2_Ss_S4-24,C,UNKNOWN,VIC,NFQ-MGB,26.6437072754,26.6191177368,0.0347748585,,,,1,0.02,1,3,25,,N,N,N
H5,C_T2_R2_Ss_S4-24,D,UNKNOWN,FAM,NFQ-MGB,27.5031452179,27.5600814819,0.0805213824,,,,1,0.02,1,3,25,,N,N,N
H6,C_T2_R2_Ss_S4-24,C,UNKNOWN,VIC,NFQ-MGB,26.5945281982,26.6191177368,0.0347748585,,,,1,0.02,1,3,25,,N,N,N
H6,C_T2_R2_Ss_S4-24,D,UNKNOWN,FAM,NFQ-MGB,27.6170196533,27.5600814819,0.0805213824,,,,1,0.02,1,3,26,,N,N,N
H7,C_T0_R2_Ss_S6-23,C,UNKNOWN,VIC,NFQ-MGB,34.761806488,34.761806488,,,,,1,0.02,1,3,35,,Y,N,N
H7,C_T0_R2_Ss_S6-23,D,UNKNOWN,FAM,NFQ-MGB,23.4939002991,24.6380729675,1.3787463903,,,,1,0.02,1,3,21,,Y,N,N
H8,C_T0_R2_Ss_S6-23,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,34.761806488,,,,,1,0.02,1,3,39,,Y,Y,Y
H8,C_T0_R2_Ss_S6-23,D,UNKNOWN,FAM,NFQ-MGB,23.3991355896,24.6380729675,1.3787463903,,,,1,0.02,1,3,21,,Y,Y,Y
H9,C_T0_R2_Ss_S6-23,Ssid,UNKNOWN,FAM,NFQ-MGB,21.1054611206,22.747089386,1.8416637182,,,,1,0.02,1,3,18,,Y,N,N
H10,C_T0_R2_Ss_S6-23,Ssid,UNKNOWN,FAM,NFQ-MGB,21.2192459106,22.747089386,1.8416637182,,,,1,0.02,1,3,18,,Y,N,N
H11,C_T0_R2_Ss_S6-23,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.3754615784,,,,,0,0.02,1,3,38,,N,N,Y
H12,C_T0_R2_Ss_S6-23,B,UNKNOWN,FAM,NFQ-MGB,Undetermined,39.3754615784,,,,,0,0.02,1,3,39,,N,N,Y
