Day ,Spp_,Treatment_,Rep_,Core_,Y(II),Sample.Time
08/04/15,Ss,NP,R1,S5-12,0.516,T1_S5-12
08/04/15,Ss,NP,R1,S6-3,0.533,T1_S6-3
08/04/15,Ss,NP,R1,S6-18,0.556,T1_S6-18
08/04/15,Mc,N,R1,M1-13,0.58,T1_M1-13
08/04/15,Mc,N,R1,M1-20,0.577,T1_M1-20
08/04/15,Mc,N,R1,M7-4,0.561,T1_M7-4
08/04/15,Mc,N,R1,M7-24,0.564,T1_M7-24
08/04/15,Mc,N,R1,M8-2,0.618,T1_M8-2
08/04/15,Mc,N,R1,M8-3,0.606,T1_M8-3
08/04/15,Mc,N,R1,M10-4,0.572,T1_M10-4
08/04/15,Mc,N,R1,M10-30,0.475,T1_M10-30
08/04/15,Mc,N,R1,M11-18,0.549,T1_M11-18
08/04/15,Mc,N,R1,M11-31,0.546,T1_M11-31
08/04/15,Mc,N,R1,M9-11,0.554,T1_M9-11
08/04/15,Mc,N,R1,M9-29,0.515,T1_M9-29
08/04/15,Ss,N,R1,S1-17,0.551,T1_S1-17
08/04/15,Ss,N,R1,S1-25,0.561,T1_S1-25
08/04/15,Ss,N,R1,S2-21,0.745,T1_S2-21
08/04/15,Ss,N,R1,S2-24,0.58,T1_S2-24
08/04/15,Ss,N,R1,S3-8,0.735,T1_S3-8
08/04/15,Ss,N,R1,S3-10,0.57,T1_S3-10
08/04/15,Ss,N,R1,S4-19,0.546,T1_S4-19
08/04/15,Ss,N,R1,S4-29,0.53,T1_S4-29
08/04/15,Ss,N,R1,S5-7,0.516,T1_S5-7
08/04/15,Ss,N,R1,S5-11,0.505,T1_S5-11
08/04/15,Ss,N,R1,S6-24,0.548,T1_S6-24
08/04/15,Ss,N,R1,S6-28,0.518,T1_S6-28
08/04/15,Mc,Fe,R1,M1-17,0.566,T1_M1-17
08/04/15,Mc,Fe,R1,M1-24,0.576,T1_M1-24
08/04/15,Mc,Fe,R1,M7-12,0.535,T1_M7-12
08/04/15,Mc,Fe,R1,M7-14,0.561,T1_M7-14
08/04/15,Mc,Fe,R1,M8-9,0.592,T1_M8-9
08/04/15,Mc,Fe,R1,M8-22,0.585,T1_M8-22
08/04/15,Mc,Fe,R1,M10-21,0.556,T1_M10-21
08/04/15,Mc,Fe,R1,M10-29,0.566,T1_M10-29
08/04/15,Mc,Fe,R1,M11-14,0.565,T1_M11-14
08/04/15,Mc,Fe,R1,M11-28,0.558,T1_M11-28
08/04/15,Mc,Fe,R1,M9-8,0.519,T1_M9-8
